2013 10 07 08:09:41 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:09:42 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:09:56 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:09:57 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:13:40 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:13:41 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:13:41 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:26:39 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:26:45 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:27:17 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:28:03 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:28:05 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:28:38 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:28:40 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:29:05 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:31:10 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 07 08:41:41 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 07 08:45:11 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 07 08:49:29 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 07 08:53:30 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 07 08:53:46 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 07 08:53:50 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 07 08:55:28 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 07 08:55:28 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:55:52 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 07 08:55:52 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:56:20 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 07 08:56:20 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:56:22 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 07 08:56:22 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:56:32 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 07 08:56:32 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:56:34 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 07 08:56:34 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:56:36 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 07 08:56:36 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:56:39 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 07 08:56:39 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:57:35 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 07 08:57:35 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:59:43 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 07 08:59:43 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:59:44 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 07 08:59:44 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
2013 10 07 08:59:45 | classes/class.Logging.php | TLogging | Line: 11 | connected to database
2013 10 07 08:59:45 | classes/class.Logging.php | TLogging | Line: 11 | Starting script...
